WorksOrderReference,ServiceRequestNo,PropertiesSK,ContractorSiteCode,JobPriorityCode,JobSORCode,JobType,NumberOfJobs,EstimatedCost,RepairNet,RepairVAT,RepairGross,InvoicedCost,InvoicedLabourCosts,InvoicedMaterialCosts,InvoicedSubcontractorCosts,InvoicedOverheadCosts,LabourHours,ServiceRequestReportedDatetime,WorksOrderRaisedDatetime,WorksOrderTargetDatetime,WorksOrderReportedCompleteDatetime,WorksOrderStatusCode,SLAStatus
WO701040,SR701040,5229,KPIF,Q,PCFENCE,Responsive,1,246.26,258.57,51.71,310.28,253.40,139.37,88.69,0.00,25.34,4.10,2026-04-10T12:08:00,2026-04-10T12:08:00,2026-05-08T12:08:00,2026-04-24T08:08:00,Completed,Met
WO701041,SR701041,5236,KPIF,Q,PCFENCE,Responsive,1,281.50,295.57,59.11,354.68,289.66,159.31,101.38,0.00,28.97,4.69,2026-04-10T08:54:00,2026-04-10T08:54:00,2026-05-08T08:54:00,2026-04-27T05:54:00,Completed,Met
WO701042,SR701042,5242,KPIF,UEL,PCTILE,Responsive,1,170.89,179.43,35.89,215.32,175.84,96.71,61.54,0.00,17.58,2.85,2026-04-10T13:40:00,2026-04-10T13:40:00,2026-04-11T13:40:00,2026-04-11T05:40:00,Completed,Met
WO701043,SR701043,5247,KPIF,UEL,PCFENCE,Responsive,1,201.09,211.14,42.23,253.37,206.92,113.81,72.42,0.00,20.69,3.35,2026-04-10T08:36:00,2026-04-10T08:36:00,2026-04-11T08:36:00,2026-04-10T19:36:00,Completed,Met
WO701044,SR701044,5247,IHREPAIRS,Q,PCFENCE,Responsive,1,332.75,349.39,69.88,419.27,342.40,188.32,119.84,0.00,34.24,5.55,2026-04-10T13:39:00,2026-04-10T13:39:00,2026-05-08T13:39:00,2026-04-21T17:39:00,Completed,Met
WO701045,SR701045,5250,KPIF,QEL,PCCARP,Responsive,1,209.55,220.03,44.01,264.04,215.63,118.60,75.47,0.00,21.56,3.49,2026-04-10T13:38:00,2026-04-10T13:38:00,2026-04-24T13:38:00,2026-04-21T15:38:00,Completed,Met
WO701046,SR701046,5284,KPIF,U1,PCTILE,Responsive,1,176.42,185.24,37.05,222.29,181.54,99.85,63.54,0.00,18.15,2.94,2026-04-10T09:20:00,2026-04-10T09:20:00,2026-04-12T09:20:00,2026-04-12T00:20:00,Completed,Met
WO701047,SR701047,5293,KPIF,NG,PCELEC,Responsive,1,268.30,281.72,56.34,338.06,276.09,151.85,96.63,0.00,27.61,4.47,2026-04-10T09:48:00,2026-04-10T09:48:00,2026-04-24T09:48:00,2026-04-20T12:48:00,Completed,Met
WO701048,SR701048,5233,BRADLEY,NG,PCGROUND,Responsive,1,383.13,402.29,80.46,482.75,394.24,39.42,59.14,256.26,39.42,6.39,2026-04-10T12:19:00,2026-04-10T12:19:00,2026-04-24T12:19:00,2026-04-17T22:19:00,Completed,Met
WO701049,SR701049,5262,PHJONESGAS,Q,PCVINYL,Responsive,1,247.48,259.85,51.97,311.82,254.65,25.47,38.20,165.52,25.46,4.12,2026-04-10T08:41:00,2026-04-10T08:41:00,2026-05-08T08:41:00,2026-04-29T08:41:00,Completed,Met
WO701050,SR701050,5238,KPIF,QEL,PCPLUMB,Responsive,1,313.77,329.46,65.89,395.35,322.87,177.58,113.00,0.00,32.29,5.23,2026-04-10T14:25:00,2026-04-10T14:25:00,2026-04-24T14:25:00,2026-04-20T20:25:00,Completed,Met
WO701051,SR701051,5269,KPIF,NG,PCGROUND,Responsive,1,495.36,520.13,104.03,624.16,509.73,280.35,178.41,0.00,50.97,8.26,2026-04-10T12:50:00,2026-04-10T12:50:00,2026-04-24T12:50:00,2026-04-15T06:50:00,Completed,Met
WO701052,SR701052,5235,KPIF,U1,PCTILE,Responsive,1,157.90,165.80,33.16,198.96,162.48,89.36,56.87,0.00,16.25,2.63,2026-04-10T10:21:00,2026-04-10T10:21:00,2026-04-12T10:21:00,2026-04-11T13:21:00,Completed,Met
WO701053,SR701053,5266,CCSS,Q,PCELEC,Responsive,1,291.18,305.74,61.15,366.89,358.06,29.96,44.94,253.19,29.96,4.85,2026-04-10T10:42:00,2026-04-10T10:42:00,2026-05-08T10:42:00,2026-04-25T21:42:00,Completed,Met
WO701054,SR701054,5271,KPIF,U1,PCCARP,Responsive,1,224.70,235.94,47.19,283.13,231.22,127.17,80.93,0.00,23.12,3.74,2026-04-10T10:31:00,2026-04-10T10:31:00,2026-04-12T10:31:00,2026-04-11T11:31:00,Completed,Met
WO701055,SR701055,5236,CCSS,UEL,PCPLAST,Responsive,1,186.39,195.71,39.14,234.85,229.20,19.18,28.77,162.07,19.18,3.11,2026-04-10T13:58:00,2026-04-10T13:58:00,2026-04-11T13:58:00,2026-04-11T17:58:00,Completed,Breached
WO701056,SR701056,5215,IHREPAIRS,Q,PCPLUMB,Responsive,1,333.26,349.92,69.98,419.90,342.92,188.61,120.02,0.00,34.29,5.55,2026-04-10T11:38:00,2026-04-10T11:38:00,2026-05-08T11:38:00,2026-04-21T03:38:00,Completed,Met
WO701057,SR701057,5034,IHREPAIRS,Q,PCPLAST,Responsive,1,195.33,205.10,41.02,246.12,201.00,110.55,70.35,0.00,20.10,3.26,2026-04-13T11:16:00,2026-04-13T11:16:00,2026-05-11T11:16:00,,Open,Open
WO701058,SR701058,5046,KPIF,Q,PCTILE,Responsive,1,153.65,161.33,32.27,193.60,158.10,86.95,55.33,0.00,15.81,2.56,2026-04-13T10:41:00,2026-04-13T10:41:00,2026-05-11T10:41:00,2026-05-07T01:41:00,Completed,Met
WO701059,SR701059,5100,CCSS,Q,PCCARP,Responsive,1,225.41,236.68,47.34,284.02,277.18,23.20,34.79,196.00,23.19,3.76,2026-04-13T14:04:00,2026-04-13T14:04:00,2026-05-11T14:04:00,2026-04-30T00:04:00,Completed,Met
WO701060,SR701060,5027,KPIF,UEL,PCELEC,Responsive,1,192.65,202.28,40.46,242.74,198.23,109.03,69.38,0.00,19.82,3.21,2026-04-13T13:27:00,2026-04-13T13:27:00,2026-04-14T13:27:00,2026-04-13T20:27:00,Completed,Met
WO701061,SR701061,5058,KPIF,Q,PCTILE,Responsive,1,152.63,160.26,32.05,192.31,157.05,86.38,54.97,0.00,15.70,2.54,2026-04-13T09:45:00,2026-04-13T09:45:00,2026-05-11T09:45:00,2026-05-02T04:45:00,Completed,Met
WO701062,SR701062,5024,IHREPAIRS,U1,PCPLAST,Responsive,1,194.06,203.76,40.75,244.51,199.68,109.82,69.89,0.00,19.97,3.23,2026-04-13T10:02:00,2026-04-13T10:02:00,2026-04-15T10:02:00,2026-04-14T13:02:00,Completed,Met
WO701063,SR701063,5023,KPIF,Q,PCVINYL,Responsive,1,232.99,244.64,48.93,293.57,239.75,131.86,83.91,0.00,23.97,3.88,2026-04-13T09:43:00,2026-04-13T09:43:00,2026-05-11T09:43:00,2026-05-03T22:43:00,Completed,Met
WO701064,SR701064,5052,KPIF,Q,PCCARP,Responsive,1,160.92,168.97,33.79,202.76,165.59,91.07,57.96,0.00,16.56,2.68,2026-04-13T08:36:00,2026-04-13T08:36:00,2026-05-11T08:36:00,,Open,Open
WO701065,SR701065,5002,CCSS,U1,PCPLUMB,Responsive,1,287.41,301.78,60.36,362.14,353.41,29.57,44.36,249.90,29.57,4.79,2026-04-13T10:47:00,2026-04-13T10:47:00,2026-04-15T10:47:00,,Open,Open
WO701066,SR701066,5002,OPENVIEW,Q,PCCARP,Responsive,1,215.43,226.20,45.24,271.44,221.68,22.17,33.25,144.09,22.17,3.59,2026-04-13T09:13:00,2026-04-13T09:13:00,2026-05-11T09:13:00,2026-05-02T01:13:00,Completed,Met
WO701067,SR701067,5057,IHREPAIRS,UEL,PCPLAST,Responsive,1,219.00,229.95,45.99,275.94,225.35,123.94,78.87,0.00,22.53,3.65,2026-04-13T10:34:00,2026-04-13T10:34:00,2026-04-14T10:34:00,2026-04-14T07:34:00,Completed,Met
WO701068,SR701068,5016,KPIF,QEL,PCPLUMB,Responsive,1,294.14,308.85,61.77,370.62,302.67,166.47,105.93,0.00,30.27,4.90,2026-04-13T11:01:00,2026-04-13T11:01:00,2026-04-27T11:01:00,2026-04-26T12:01:00,Completed,Met
WO701069,SR701069,5001,KPIF,E,PCTILE,Responsive,1,178.86,187.80,37.56,225.36,184.04,101.22,64.41,0.00,18.40,2.98,2026-04-13T09:45:00,2026-04-13T09:45:00,2026-04-14T09:45:00,2026-04-13T21:45:00,Completed,Met
WO701070,SR701070,5088,CCSS,Q,PCVINYL,Responsive,1,226.23,237.54,47.51,285.05,278.18,23.28,34.92,196.70,23.28,3.77,2026-04-13T09:27:00,2026-04-13T09:27:00,2026-05-11T09:27:00,2026-04-13T10:27:00,Completed,Met
WO701071,SR701071,5037,KPIF,U1,PCFENCE,Responsive,1,227.53,238.91,47.78,286.69,234.13,128.77,81.95,0.00,23.41,3.79,2026-04-13T11:34:00,2026-04-13T11:34:00,2026-04-15T11:34:00,2026-04-15T10:34:00,Completed,Met
WO701072,SR701072,5078,IHREPAIRS,U1,PCPLAST,Responsive,1,234.42,246.14,49.23,295.37,241.22,132.67,84.43,0.00,24.12,3.91,2026-04-13T13:37:00,2026-04-13T13:37:00,2026-04-15T13:37:00,2026-04-14T22:37:00,Completed,Met
WO701073,SR701073,5088,KPIF,Q,PCBRICK,Responsive,1,387.15,406.51,81.30,487.81,398.38,219.11,139.43,0.00,39.84,6.45,2026-04-13T09:23:00,2026-04-13T09:23:00,2026-05-11T09:23:00,2026-04-29T07:23:00,Completed,Met
WO701074,SR701074,5034,OPENVIEW,QEL,PCCARP,Responsive,1,162.03,170.13,34.03,204.16,166.73,16.67,25.01,108.37,16.67,2.70,2026-04-13T09:46:00,2026-04-13T09:46:00,2026-04-27T09:46:00,2026-04-22T01:46:00,Completed,Met
WO701075,SR701075,5058,KPIF,QEL,PCELEC,Responsive,1,250.50,263.03,52.61,315.64,257.77,141.77,90.22,0.00,25.78,4.17,2026-04-13T12:08:00,2026-04-13T12:08:00,2026-04-27T12:08:00,2026-04-24T02:08:00,Completed,Met
WO701076,SR701076,5017,KPIF,QEL,PCPLAST,Responsive,1,225.49,236.76,47.35,284.11,232.02,127.61,81.21,0.00,23.20,3.76,2026-04-13T12:43:00,2026-04-13T12:43:00,2026-04-27T12:43:00,2026-04-18T01:43:00,Completed,Met
WO701077,SR701077,5082,PHJONESGAS,U1,PCFENCE,Responsive,1,322.62,338.75,67.75,406.50,331.97,33.20,49.80,215.78,33.20,5.38,2026-04-13T10:35:00,2026-04-13T10:35:00,2026-04-15T10:35:00,2026-04-14T05:35:00,Completed,Met
WO701078,SR701078,5064,KPIF,Q,PCGROUND,Responsive,1,372.37,390.99,78.20,469.19,383.17,210.74,134.11,0.00,38.32,6.21,2026-04-13T09:12:00,2026-04-13T09:12:00,2026-05-11T09:12:00,2026-04-25T01:12:00,Completed,Met
WO701079,SR701079,5189,KPIF,Q,PCTILE,Responsive,1,213.76,224.45,44.89,269.34,219.96,120.98,76.99,0.00,22.00,3.56,2026-04-13T08:31:00,2026-04-13T08:31:00,2026-05-11T08:31:00,2026-05-03T07:31:00,Completed,Met
WO701080,SR701080,5161,KPIF,QEL,PCPLAST,Responsive,1,253.73,266.42,53.28,319.70,261.09,143.60,91.38,0.00,26.11,4.23,2026-04-13T11:28:00,2026-04-13T11:28:00,2026-04-27T11:28:00,2026-04-18T08:28:00,Completed,Met
WO701081,SR701081,5118,OPENVIEW,Q,PCBRICK,Responsive,1,297.58,312.46,62.49,374.95,306.21,30.62,45.93,199.04,30.62,4.96,2026-04-13T13:12:00,2026-04-13T13:12:00,2026-05-11T13:12:00,2026-05-12T12:12:00,Completed,Breached
WO701082,SR701082,5129,KPIF,Q,PCPLUMB,Responsive,1,199.69,209.67,41.93,251.60,205.48,113.01,71.92,0.00,20.55,3.33,2026-04-13T14:26:00,2026-04-13T14:26:00,2026-05-11T14:26:00,,Open,Open
WO701083,SR701083,5155,KPIF,E,PCFENCE,Responsive,1,322.95,339.10,67.82,406.92,332.32,182.78,116.31,0.00,33.23,5.38,2026-04-13T13:27:00,2026-04-13T13:27:00,2026-04-14T13:27:00,2026-04-14T11:27:00,Completed,Met
WO701084,SR701084,5104,KPIF,Q,PCPLAST,Responsive,1,205.32,215.59,43.12,258.71,211.28,116.20,73.95,0.00,21.13,3.42,2026-04-13T09:09:00,2026-04-13T09:09:00,2026-05-11T09:09:00,2026-05-10T16:09:00,Completed,Met
WO701085,SR701085,5198,KPIF,Q,PCPLAST,Responsive,1,171.20,179.76,35.95,215.71,176.16,96.89,61.66,0.00,17.62,2.85,2026-04-13T13:00:00,2026-04-13T13:00:00,2026-05-11T13:00:00,2026-04-28T20:00:00,Completed,Met
WO701086,SR701086,5144,CCSS,QEL,PCELEC,Responsive,1,270.59,284.12,56.82,340.94,332.74,27.84,41.77,235.29,27.84,4.51,2026-04-13T10:56:00,2026-04-13T10:56:00,2026-04-27T10:56:00,2026-04-22T13:56:00,Completed,Met
WO701087,SR701087,5178,KPIF,Q,PCPLAST,Responsive,1,133.47,140.14,28.03,168.17,137.34,75.54,48.07,0.00,13.73,2.22,2026-04-13T12:06:00,2026-04-13T12:06:00,2026-05-11T12:06:00,2026-04-25T10:06:00,Completed,Met
WO701088,SR701088,5134,KPIF,UEL,PCGROUND,Responsive,1,442.11,464.22,92.84,557.06,454.94,250.22,159.23,0.00,45.49,7.37,2026-04-13T09:50:00,2026-04-13T09:50:00,2026-04-14T09:50:00,2026-04-13T23:50:00,Completed,Met
WO701089,SR701089,5117,KPIF,Q,PCTILE,Responsive,1,203.60,213.78,42.76,256.54,209.50,115.23,73.32,0.00,20.95,3.39,2026-04-13T11:50:00,2026-04-13T11:50:00,2026-05-11T11:50:00,2026-05-04T00:50:00,Completed,Met
WO701090,SR701090,5110,IHREPAIRS,Q,PCELEC,Responsive,1,235.16,246.92,49.38,296.30,241.98,133.09,84.69,0.00,24.20,3.92,2026-04-13T11:57:00,2026-04-13T11:57:00,2026-05-11T11:57:00,2026-05-01T19:57:00,Completed,Met
WO701091,SR701091,5183,KPIF,U1,PCVINYL,Responsive,1,272.25,285.86,57.17,343.03,280.14,154.08,98.05,0.00,28.01,4.54,2026-04-13T09:09:00,2026-04-13T09:09:00,2026-04-15T09:09:00,2026-04-14T02:09:00,Completed,Met
WO701092,SR701092,5131,KPIF,U1,PCBRICK,Responsive,1,264.52,277.75,55.55,333.30,272.19,149.70,95.27,0.00,27.22,4.41,2026-04-13T10:18:00,2026-04-13T10:18:00,2026-04-15T10:18:00,2026-04-14T01:18:00,Completed,Met
WO701093,SR701093,5171,KPIF,Q,PCTILE,Responsive,1,179.06,188.01,37.60,225.61,184.25,101.34,64.49,0.00,18.42,2.98,2026-04-13T10:47:00,2026-04-13T10:47:00,2026-05-11T10:47:00,,Open,Open
WO701094,SR701094,5162,KPIF,E,PCPLUMB,Responsive,1,242.16,254.27,50.85,305.12,249.18,137.05,87.21,0.00,24.92,4.04,2026-04-13T11:08:00,2026-04-13T11:08:00,2026-04-14T11:08:00,2026-04-14T05:08:00,Completed,Met
WO701095,SR701095,5151,CCSS,U1,PCGROUND,Responsive,1,391.20,410.76,82.15,492.91,481.04,40.25,60.38,340.14,40.25,6.52,2026-04-13T11:32:00,2026-04-13T11:32:00,2026-04-15T11:32:00,2026-04-15T06:32:00,Completed,Met
WO701096,SR701096,5153,OPENVIEW,U1,PCGROUND,Responsive,1,429.51,450.99,90.20,541.19,441.97,44.20,66.30,287.28,44.20,7.16,2026-04-13T09:46:00,2026-04-13T09:46:00,2026-04-15T09:46:00,2026-04-15T06:46:00,Completed,Met
WO701097,SR701097,5105,CCSS,U1,PCBRICK,Responsive,1,303.17,318.33,63.67,382.00,372.79,31.20,46.79,263.60,31.20,5.05,2026-04-13T09:10:00,2026-04-13T09:10:00,2026-04-15T09:10:00,2026-04-14T16:10:00,Completed,Met
WO701098,SR701098,5128,KPIF,QEL,PCPLAST,Responsive,1,194.05,203.75,40.75,244.50,199.67,109.82,69.88,0.00,19.97,3.23,2026-04-13T12:46:00,2026-04-13T12:46:00,2026-04-27T12:46:00,2026-04-17T09:46:00,Completed,Met
WO701099,SR701099,5199,KPIF,Q,PCFENCE,Responsive,1,356.32,374.14,74.83,448.97,366.66,201.66,128.33,0.00,36.67,5.94,2026-04-13T10:58:00,2026-04-13T10:58:00,2026-05-11T10:58:00,2026-04-23T04:58:00,Completed,Met
WO701100,SR701100,5192,PHJONESGAS,UEL,PCVINYL,Responsive,1,230.34,241.86,48.37,290.23,237.02,23.70,35.55,154.06,23.70,3.84,2026-04-13T13:40:00,2026-04-13T13:40:00,2026-04-14T13:40:00,2026-04-14T05:40:00,Completed,Met
WO701101,SR701101,5264,KPIF,QEL,PCCARP,Responsive,1,155.08,162.83,32.57,195.40,159.57,87.76,55.85,0.00,15.96,2.58,2026-04-13T11:08:00,2026-04-13T11:08:00,2026-04-27T11:08:00,2026-04-14T19:08:00,Completed,Met
WO701102,SR701102,5212,KPIF,U1,PCELEC,Responsive,1,292.22,306.83,61.37,368.20,300.69,165.38,105.24,0.00,30.07,4.87,2026-04-13T11:01:00,2026-04-13T11:01:00,2026-04-15T11:01:00,2026-04-14T19:01:00,Completed,Met
WO701103,SR701103,5212,CCSS,U1,PCCARP,Responsive,1,172.19,180.80,36.16,216.96,211.73,17.72,26.58,149.72,17.72,2.87,2026-04-13T10:42:00,2026-04-13T10:42:00,2026-04-15T10:42:00,2026-04-15T17:42:00,Completed,Breached
WO701104,SR701104,5257,PHJONESGAS,QEL,PCPLAST,Responsive,1,217.54,228.42,45.68,274.10,223.85,22.39,33.58,145.50,22.38,3.63,2026-04-13T12:39:00,2026-04-13T12:39:00,2026-04-27T12:39:00,2026-04-27T06:39:00,Completed,Met
WO701105,SR701105,5280,IHREPAIRS,Q,PCPLAST,Responsive,1,189.66,199.14,39.83,238.97,195.16,107.34,68.31,0.00,19.52,3.16,2026-04-13T13:49:00,2026-04-13T13:49:00,2026-05-11T13:49:00,2026-05-05T12:49:00,Completed,Met
WO701106,SR701106,5265,BRADLEY,UEL,PCELEC,Responsive,1,294.14,308.85,61.77,370.62,302.67,30.27,45.40,196.74,30.27,4.90,2026-04-13T14:19:00,2026-04-13T14:19:00,2026-04-14T14:19:00,,Open,Open
WO701107,SR701107,5232,OPENVIEW,E,PCGROUND,Responsive,1,477.46,501.33,100.27,601.60,491.30,49.13,73.69,319.35,49.13,7.96,2026-04-13T10:58:00,2026-04-13T10:58:00,2026-04-14T10:58:00,2026-04-13T19:58:00,Completed,Met
WO701108,SR701108,5229,CCSS,QEL,PCVINYL,Responsive,1,232.08,243.68,48.74,292.42,285.38,23.88,35.82,201.80,23.88,3.87,2026-04-13T11:28:00,2026-04-13T11:28:00,2026-04-27T11:28:00,2026-04-17T22:28:00,Completed,Met
WO701109,SR701109,5260,CCSS,U1,PCCARP,Responsive,1,158.53,166.46,33.29,199.75,194.94,16.31,24.47,137.84,16.31,2.64,2026-04-13T11:53:00,2026-04-13T11:53:00,2026-04-15T11:53:00,2026-04-14T16:53:00,Completed,Met
WO701110,SR701110,5241,IHREPAIRS,NG,PCFENCE,Responsive,1,255.20,267.96,53.59,321.55,262.60,144.43,91.91,0.00,26.26,4.25,2026-04-13T14:29:00,2026-04-13T14:29:00,2026-04-27T14:29:00,2026-04-21T21:29:00,Completed,Met
WO701111,SR701111,5270,KPIF,QEL,PCPLAST,Responsive,1,208.21,218.62,43.72,262.34,214.25,117.84,74.99,0.00,21.42,3.47,2026-04-13T10:19:00,2026-04-13T10:19:00,2026-04-27T10:19:00,2026-04-21T12:19:00,Completed,Met
WO701112,SR701112,5249,KPIF,QEL,PCPLUMB,Responsive,1,235.98,247.78,49.56,297.34,242.82,133.55,84.99,0.00,24.28,3.93,2026-04-13T12:10:00,2026-04-13T12:10:00,2026-04-27T12:10:00,2026-04-23T19:10:00,Completed,Met
WO701113,SR701113,5203,IHREPAIRS,UEL,PCVINYL,Responsive,1,244.63,256.86,51.37,308.23,251.72,138.45,88.10,0.00,25.17,4.08,2026-04-13T09:12:00,2026-04-13T09:12:00,2026-04-14T09:12:00,2026-04-14T01:12:00,Completed,Met
WO701114,SR701114,5292,IHREPAIRS,QEL,PCELEC,Responsive,1,241.42,253.49,50.70,304.19,248.42,136.63,86.95,0.00,24.84,4.02,2026-04-13T14:12:00,2026-04-13T14:12:00,2026-04-27T14:12:00,,Open,Open
WO701115,SR701115,5255,KPIF,QEL,PCFENCE,Responsive,1,322.64,338.77,67.75,406.52,331.99,182.59,116.20,0.00,33.20,5.38,2026-04-13T10:11:00,2026-04-13T10:11:00,2026-04-27T10:11:00,2026-04-20T02:11:00,Completed,Met
WO701116,SR701116,5289,KPIF,NG,PCPLAST,Responsive,1,171.35,179.92,35.98,215.90,176.32,96.98,61.71,0.00,17.63,2.86,2026-04-13T14:24:00,2026-04-13T14:24:00,2026-04-27T14:24:00,2026-04-17T06:24:00,Completed,Met
WO701117,SR701117,5277,CCSS,U1,PCTILE,Responsive,1,193.55,203.23,40.65,243.88,238.01,19.92,29.88,168.30,19.92,3.23,2026-04-13T13:45:00,2026-04-13T13:45:00,2026-04-15T13:45:00,2026-04-15T02:45:00,Completed,Met
WO701118,SR701118,5294,BRADLEY,E,PCFENCE,Responsive,1,280.15,294.16,58.83,352.99,288.28,28.83,43.24,187.38,28.83,4.67,2026-04-13T09:45:00,2026-04-13T09:45:00,2026-04-14T09:45:00,2026-04-13T19:45:00,Completed,Met
WO701119,SR701119,5287,CCSS,UEL,PCVINYL,Responsive,1,192.76,202.40,40.48,242.88,237.03,19.84,29.75,167.61,19.83,3.21,2026-04-13T12:20:00,2026-04-13T12:20:00,2026-04-14T12:20:00,2026-04-14T11:20:00,Completed,Met
WO701120,SR701120,5282,CCSS,E,PCCARP,Responsive,1,199.58,209.56,41.91,251.47,245.42,20.54,30.81,173.54,20.54,3.33,2026-04-13T10:06:00,2026-04-13T10:06:00,2026-04-14T10:06:00,2026-04-13T19:06:00,Completed,Met
WO701121,SR701121,5249,PHJONESGAS,Q,PCTILE,Responsive,1,157.73,165.62,33.12,198.74,162.31,16.23,24.35,105.50,16.23,2.63,2026-04-13T14:17:00,2026-04-13T14:17:00,2026-05-11T14:17:00,2026-04-29T12:17:00,Completed,Met
WO701122,SR701122,5203,IHREPAIRS,QEL,PCBRICK,Responsive,1,240.85,252.89,50.58,303.47,247.83,136.31,86.74,0.00,24.78,4.01,2026-04-13T09:33:00,2026-04-13T09:33:00,2026-04-27T09:33:00,2026-04-20T12:33:00,Completed,Met
WO701123,SR701123,5053,IHREPAIRS,Q,PCFENCE,Responsive,1,272.60,286.23,57.25,343.48,280.51,154.28,98.18,0.00,28.05,4.54,2026-04-14T12:57:00,2026-04-14T12:57:00,2026-05-12T12:57:00,2026-05-06T07:57:00,Completed,Met
WO701124,SR701124,5059,IHREPAIRS,Q,PCVINYL,Responsive,1,209.69,220.17,44.03,264.20,215.77,118.67,75.52,0.00,21.58,3.49,2026-04-14T09:53:00,2026-04-14T09:53:00,2026-05-12T09:53:00,2026-04-25T21:53:00,Completed,Met
WO701125,SR701125,5089,CCSS,Q,PCVINYL,Responsive,1,217.91,228.81,45.76,274.57,267.95,22.42,33.63,189.47,22.42,3.63,2026-04-14T09:20:00,2026-04-14T09:20:00,2026-05-12T09:20:00,2026-05-11T07:20:00,Completed,Met
WO701126,SR701126,5084,KPIF,Q,PCPLUMB,Responsive,1,179.59,188.57,37.71,226.28,184.80,101.64,64.68,0.00,18.48,2.99,2026-04-14T12:44:00,2026-04-14T12:44:00,2026-05-12T12:44:00,2026-05-01T07:44:00,Completed,Met
WO701127,SR701127,5082,OPENVIEW,Q,PCELEC,Responsive,1,307.37,322.74,64.55,387.29,316.29,31.63,47.44,205.59,31.63,5.12,2026-04-14T14:11:00,2026-04-14T14:11:00,2026-05-12T14:11:00,2026-04-29T22:11:00,Completed,Met
WO701128,SR701128,5059,KPIF,Q,PCGROUND,Responsive,1,389.03,408.48,81.70,490.18,400.31,220.17,140.11,0.00,40.03,6.48,2026-04-14T12:30:00,2026-04-14T12:30:00,2026-05-12T12:30:00,2026-05-06T06:30:00,Completed,Met
WO701129,SR701129,5060,IHREPAIRS,QEL,PCVINYL,Responsive,1,221.83,232.92,46.58,279.50,228.26,125.54,79.89,0.00,22.83,3.70,2026-04-14T11:52:00,2026-04-14T11:52:00,2026-04-28T11:52:00,2026-04-25T13:52:00,Completed,Met
WO701130,SR701130,5037,KPIF,QEL,PCBRICK,Responsive,1,315.34,331.11,66.22,397.33,324.49,178.47,113.57,0.00,32.45,5.26,2026-04-14T12:02:00,2026-04-14T12:02:00,2026-04-28T12:02:00,2026-04-22T18:02:00,Completed,Met
WO701131,SR701131,5005,CCSS,E,PCPLUMB,Responsive,1,187.09,196.44,39.29,235.73,230.05,19.25,28.88,162.67,19.25,3.12,2026-04-14T12:55:00,2026-04-14T12:55:00,2026-04-15T12:55:00,2026-04-15T05:55:00,Completed,Met
WO701132,SR701132,5074,PHJONESGAS,UEL,PCVINYL,Responsive,1,193.58,203.26,40.65,243.91,199.19,19.92,29.88,129.47,19.92,3.23,2026-04-14T10:08:00,2026-04-14T10:08:00,2026-04-15T10:08:00,,Open,Open
WO701133,SR701133,5074,IHREPAIRS,U1,PCVINYL,Responsive,1,239.82,251.81,50.36,302.17,246.77,135.72,86.37,0.00,24.68,4.00,2026-04-14T09:58:00,2026-04-14T09:58:00,2026-04-16T09:58:00,2026-04-15T06:58:00,Completed,Met
WO701134,SR701134,5030,KPIF,Q,PCCARP,Responsive,1,138.28,145.19,29.04,174.23,142.29,78.26,49.80,0.00,14.23,2.30,2026-04-14T09:30:00,2026-04-14T09:30:00,2026-05-12T09:30:00,2026-04-24T12:30:00,Completed,Met
WO701135,SR701135,5081,KPIF,QEL,PCBRICK,Responsive,1,344.42,361.64,72.33,433.97,354.41,194.93,124.04,0.00,35.44,5.74,2026-04-14T11:15:00,2026-04-14T11:15:00,2026-04-28T11:15:00,2026-04-23T05:15:00,Completed,Met
WO701136,SR701136,5081,CCSS,E,PCPLAST,Responsive,1,196.45,206.27,41.25,247.52,241.56,20.21,30.32,170.81,20.21,3.27,2026-04-14T09:10:00,2026-04-14T09:10:00,2026-04-15T09:10:00,2026-04-14T22:10:00,Completed,Met
WO701137,SR701137,5059,IHREPAIRS,U1,PCFENCE,Responsive,1,339.71,356.70,71.34,428.04,349.57,192.26,122.35,0.00,34.96,5.66,2026-04-14T10:23:00,2026-04-14T10:23:00,2026-04-16T10:23:00,2026-04-15T11:23:00,Completed,Met
WO701138,SR701138,5100,IHREPAIRS,QEL,PCVINYL,Responsive,1,230.99,242.54,48.51,291.05,237.69,130.73,83.19,0.00,23.77,3.85,2026-04-14T10:50:00,2026-04-14T10:50:00,2026-04-28T10:50:00,,Open,Open
WO701139,SR701139,5075,BRADLEY,U1,PCCARP,Responsive,1,196.45,206.27,41.25,247.52,202.14,20.21,30.32,131.39,20.21,3.27,2026-04-14T09:32:00,2026-04-14T09:32:00,2026-04-16T09:32:00,2026-04-15T19:32:00,Completed,Met
WO701140,SR701140,5012,KPIF,Q,PCCARP,Responsive,1,203.86,214.05,42.81,256.86,209.77,115.37,73.42,0.00,20.98,3.40,2026-04-14T10:16:00,2026-04-14T10:16:00,2026-05-12T10:16:00,,Open,Open
WO701141,SR701141,5010,KPIF,QEL,PCELEC,Responsive,1,307.39,322.76,64.55,387.31,316.30,173.97,110.70,0.00,31.63,5.12,2026-04-14T14:21:00,2026-04-14T14:21:00,2026-04-28T14:21:00,2026-04-17T19:21:00,Completed,Met
